Mese;Settimana;Data;Sport;Competizione;Mercato;Stake;Quota;Pot_win;Esito;Tipster;Book;Online_fisico;Live_PM;Profit;Cumulativo
M1_F22;W1_F3;2022-02-19;TENTAV;TT Cup;Vincente Set;25.00;2.25;56.25;P;NGAD_POP;B365;O;L;-25.00;-25.00
M1_F22;W1_F3;2022-02-19;CALCIO;BUL-2;1X2;50.00;2.15;107.50;P;GAD_PA;GoldBet;F;PM;-50.00;-75.00
M1_F22;W1_F3;2022-02-19;CALCIO;ISLC-F;1X2;30.00;3.80;114.00;V;Mkt;GoldBet;F;PM;84.00;9.00
M1_F22;W1_F3;2022-02-19;TENNIS;ATP;Vincente Incontro;25.00;3.40;85.00;P;Mkt;B365;O;L;-25.00;-16.00
M1_F22;W1_F3;2022-02-20;CALCIO;NIG-1;1X2 Resto del match;50.00;1.80;90.00;V;GAD_SA;B365;O;L;40.00;24.00
M1_F22;W1_F3;2022-02-20;CALCIO;NIG-1;1X2 Resto del match;25.00;2.05;51.25;P;GAD_SA;B365;O;L;-25.00;-1.00
M1_F22;W1_F3;2022-02-20;BASKET;SVE-1;1X2 H;35.00;1.83;64.05;V;Partinico;B365;O;L;29.05;28.05
M1_F22;W1_F3;2022-02-20;TENTAV;Liga Pro;Vincente Incontro;35.00;1.80;63.00;P;Palermo;B365;O;PM;-35.00;-6.95
M1_F22;W1_F3;2022-02-21;TENTAV;TT Cup;Vincente Incontro;100.00;3.25;325.00;P;GAD_SA;B365;O;L;-100.00;-106.95
M1_F22;W1_F3;2022-02-21;CALCIO;BHR-2;U/O;50.00;1.66;83.00;V;Voge777;B365;O;L;33.00;-73.95
M1_F22;W2_F4;2022-02-22;CALCIO;ITA-3;1X2 HT;50.00;2.60;130.00;P;Palermo;B365;O;L;-50.00;-123.95
M1_F22;W2_F4;2022-02-22;CALCIO;ITA-3;1X2;50.00;1.90;95.00;P;Palermo;B365;O;L;-50.00;-173.95
M1_F22;W2_F4;2022-02-22;CALCIO;BULC;U/O;40.00;2.55;102.00;V;GAD_SA;GoldBet;F;L;62.00;-111.95
M1_F22;W2_F4;2022-02-22;CALCIO;KUWC;U/O;15.00;1.90;28.50;P;acoitalija;B365;O;L;-15.00;-126.95
M1_F22;W2_F4;2022-02-22;BASKET;RUS-2;1X2 H;15.00;1.83;27.45;V;GAD_DE;B365;O;L;12.45;-114.50
M1_F22;W2_F4;2022-02-23;CALCIO;TUR-3;1X2;10.00;3.20;32.00;V;Palermo;B365;O;L;22.00;-92.50
M1_F22;W2_F4;2022-02-23;TENNIS;ITF;Vincente Incontro;15.00;1.83;27.45;V;Palermo;B365;O;PM;12.45;-80.05
M1_F22;W2_F4;2022-02-23;PNUOTO;CHL;Vincente Incontro;5.00;11.00;55.00;P;Partinico;B365;O;PM;-5.00;-85.05
M1_F22;W2_F4;2022-02-23;PNUOTO;CHL;Vincente Incontro;15.00;12.46;186.90;P;Partinico;Sportitalia;O;PM;-15.00;-100.05
M1_F22;W2_F4;2022-02-25;HOCKEY;RUS-VHL;U/O;20.00;1.57;31.40;V;romanovic;B365;O;L;11.40;-88.65
M1_F22;W2_F4;2022-02-25;HOCKEY;AUS-AHL;U/O;15.00;1.85;27.75;P;marburg80;B365;O;L;-15.00;-103.65
M1_F22;W2_F4;2022-02-25;HOCKEY;SVE-HA;U/O;25.00;1.37;34.25;V;romanovic;B365;O;L;9.25;-94.40
M1_F22;W2_F4;2022-02-26;CALCIO;CZE-U19;1X2 H;15.00;2.87;43.05;P;Maddaloni;B365;O;L;-15.00;-109.40
M1_F22;W2_F4;2022-02-26;CALCIO;ALG-U19;1X2 H;15.00;2.40;36.00;P;Maddaloni;B365;O;L;-15.00;-124.40
M1_F22;W2_F4;2022-02-26;HOCKEY;RUS-MHL;U/O;25.00;2.35;58.75;V;romanovic;B365;O;L;33.75;-90.65
M1_F22;W2_F4;2022-02-26;HOCKEY;RUS-VHL;U/O;50.00;1.25;62.50;V;romanovic;B365;O;L;12.50;-78.15
M1_F22;W2_F4;2022-02-28;BASKET;TUR-F;1X2 H;30.00;1.83;54.90;V;Palermo;B365;O;L;24.90;-53.25
M1_F22;W2_F4;2022-02-28;CALCIO;GHA-1;U/O;60.00;2.35;141.00;V;Campi Bisenzio;GoldBet;F;L;81.00;27.75
M2_M22;W3_M1;2022-03-01;TENNIS;WTA;Vincente Incontro;25.00;3.20;80.00;P;Maddaloni;B365;O;L;-25.00;2.75
M2_M22;W3_M1;2022-03-01;CALCIO;SVI-2;1X2;25.00;3.00;75.00;P;Maddaloni;B365;O;PM;-25.00;-22.25
M2_M22;W3_M1;2022-03-02;CALCIO;SLO-1;U/O;20.00;2.62;52.40;P;Maddaloni;B365;O;L;-20.00;-42.25
M2_M22;W3_M1;2022-03-02;CALCIO;NIG-1;GG/NG;20.00;2.62;52.40;V;Ufficio;B365;O;L;32.40;-9.85
M2_M22;W3_M1;2022-03-02;TENNIS;CHA;Vincente Incontro;25.00;2.05;51.25;P;Tutti;B365;O;L;-25.00;-34.85
M2_M22;W3_M1;2022-03-03;TENTAV;OCH;Vincente Incontro;50.00;1.61;80.50;V;alexdelpiero32;B365;O;L;30.50;-4.35
M2_M22;W3_M1;2022-03-04;CALCIO;ALG-F;U/O;50.00;1.53;76.50;V;carminedilucia;B365;O;L;26.50;22.15
M2_M22;W3_M1;2022-03-04;CALCIO;ISR-3;1X2 HT;20.00;3.00;60.00;P;carlogrumelli;B365;O;L;-20.00;2.15
M2_M22;W3_M1;2022-03-04;CALCIO;EGI-F;U/O;25.00;2.30;57.50;V;carminedilucia;Sisal;O;L;32.50;34.65
M2_M22;W3_M1;2022-03-04;CALCIO;ARA-3;GG/NG;50.00;2.95;147.50;V;cobra_80;GoldBet;F;L;97.50;132.15
M2_M22;W4_M2;2022-03-09;BASKET;FIN-1;U/O;30.00;1.80;54.00;V;GAD_PA;B365;O;L;24.00;156.15
M2_M22;W4_M2;2022-03-11;CALCIO;BAN-2;1X2 HT;25.00;2.25;56.25;P;Tutti;Sisal;O;L;-25.00;131.15
M2_M22;W4_M2;2022-03-11;FRECCE;GER;Vincente Incontro;30.00;1.90;57.00;P;LGOP;B365;O;PM;-30.00;101.15
M2_M22;W4_M2;2022-03-12;BASKET;AUS-1;1X2 H;40.00;1.82;72.80;V;tilletto;B365;O;L;32.80;133.95
M2_M22;W4_M2;2022-03-12;CALCIO;KEN-1;U/O;30.00;2.00;60.00;P;Palermo;B365;O;L;-30.00;103.95
M2_M22;W4_M2;2022-03-12;CALCIO;NIG-1;1X2 Resto del match;30.00;2.60;78.00;V;GAD_SA;B365;O;L;48.00;151.95
M2_M22;W4_M2;2022-03-13;CALCIO;BAN-1;1X2 Resto del match;30.00;1.97;59.10;P;Lochpasser10;B365;O;L;-30.00;121.95
M2_M22;W5_M3;2022-03-16;CALCIO;TUN-1;1X2;25.00;2.87;71.75;P;Tutti;B365;O;L;-25.00;96.95
M2_M22;W5_M3;2022-03-16;CALCIO;CHL;U/O TIP Giocatore;20.00;2.25;45.00;V;Ludo;B365;O;PM;25.00;121.95
M2_M22;W5_M3;2022-03-17;CALCIO;BAN-2;U/O;30.00;1.90;57.00;P;GAD_POP;B365;O;PM;-30.00;91.95
M2_M22;W5_M3;2022-03-17;TENNIS;ITF;Vincente Incontro;15.00;2.50;37.50;P;Battipaglia;B365;O;L;-15.00;76.95
M2_M22;W5_M3;2022-03-19;PMANO;Q-MON;U/O;25.00;1.95;48.75;V;Maddaloni;B365;O;L;23.75;100.70
M2_M22;W5_M3;2022-03-19;PMANO;Q-MON;U/O;25.00;1.85;46.25;V;Maddaloni;B365;O;L;21.25;121.95
M2_M22;W5_M3;2022-03-21;CALCIO;TUR-3;1X2 HT;20.00;2.75;55.00;P;Teknetas;B365;O;L;-20.00;101.95
M2_M22;W6_M4;2022-03-22;TENNIS;ITF;Vincente Set;30.00;2.20;66.00;P;14584;B365;O;L;-30.00;71.95
M2_M22;W6_M4;2022-03-22;TENTAV;WTT;Vincente Incontro;15.00;8.00;120.00;P;Campi Bisenzio;B365;O;L;-15.00;56.95
M2_M22;W6_M4;2022-03-26;CALCIO;ROM-U19;1X2;15.00;4.00;60.00;P;16026;B365;O;PM;-15.00;41.95
M2_M22;W6_M4;2022-03-26;CALCIO;ALG-U19;1X2 HT;16.00;2.05;32.80;P;Tutti;B365;O;L;-16.00;25.95
M2_M22;W6_M4;2022-03-26;CALCIO A 5;SPA-1;U/O;20.00;1.57;31.40;P;romanovic;B365;O;L;-20.00;5.95
M2_M22;W6_M4;2022-03-27;CALCIO;GRE-F;U/O;50.00;2.00;100.00;P;Ludo;GoldBet;F;L;-50.00;-44.05
M2_M22;W6_M4;2022-03-27;CALCIO;NIG-C;Risultato Esatto;10.00;23.00;230.00;P;31092;B365;O;PM;-10.00;-54.05
M2_M22;W6_M4;2022-03-30;CALCIO;ITA-4;1X2;50.00;1.80;90.00;P;Mkt;Eurobet;F;PM;-50.00;-104.05
M3_A22;W7_A1;2022-04-02;CALCIO;AUS-2;U/O;5.00;2.10;10.50;P;GAD_DE;B365;O;L;-5.00;-109.05
M3_A22;W8_A2;2022-04-10;CALCIO;CZE-2;Prossimo Gol;50.00;2.55;127.50;P;Maddaloni;GoldBet;F;L;-50.00;-159.05
M3_A22;W8_A2;2022-04-10;CALCIO;ITA-1;U/O;100.00;1.75;175.00;V;Ludo;Sisal;O;PM;75.00;-84.05
M3_A22;W8_A2;2022-04-10;CALCIO;ITA-1;U/O;50.00;3.15;157.50;V;Ludo;Sisal;O;PM;107.50;23.45
M3_A22;W8_A2;2022-04-11;TENNIS;CHA;Vincente Incontro;10.00;3.70;37.00;P;Battipaglia;Sisal;O;L;-10.00;13.45
M3_A22;W8_A2;2022-04-11;TENTAV;TT-HUN;Vincente Incontro;40.00;1.35;54.00;V;pompeia75;Sisal;O;L;14.00;27.45
